01/01,"<span class=""normaltext"">#TP6<a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/01-01.htm""><b>Обрезание Господне</b></a>.
#TP1Свт. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/01-02.htm"">Василия</a> Великого, архиеп. Кесарии Каппадокийской (379).
#TPo<span class=""minortext "">Прмч. Иеремии (1918).</span>
#TPo<span class=""minortext "">Новосвщмч. Платона, еп. Ревельского и иже с ним: пресвитеров Михаила (Блейве) и Николая (Бежаницкого) (1919).</span>
#TPo<span class=""minortext "">Cщмчч. Александра, архиеп. Самарского, и с ним Иоанна, Александра, Иоанна, Александра, Трофима, Вячеслава, Василия и Иакова пресвитеров (1938).</span>
#TP0Мч. Василия Анкирского (ок. 362).
#TP0Св. Емилии, матери свт. Василия Великого (IV).
</span>
"
02/01,"<span class=""normaltext"">#TP1<i>Предпразднство Богоявления.</i>
#TP1Свт. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/02-01.htm"">Сильвестра</a>, папы Римского (335).
#TP0Прав. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/02-04.htm"">Иулиании</a> Лазаревской, Муромской (1604).
#TP4Преставление (1833), второе обретение мощей (1991) прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/02-02.htm""><b>Серафима</b></a>, Саровского чудотворца .
#TPo<span class=""minortext "">Мч. Василия (1942).</span>
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/02-03.htm"">Сильвестра</a> Печерского, в Ближних пещерах (XII).
#TP0Сщмч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/02-05.htm"">Феогена</a>, еп. Парийского (ок. 320).
</span>
"
03/01,"<span class=""normaltext"">#TP1<i>Предпразднство Богоявления.</i>
#TP1Прор. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/03-01.htm"">Малахии</a> (ок. 400 г. до Р.Х.).
#TP1Мч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/03-02.htm"">Гордия</a> (IV).<br></span>
"
04/01,"<span class=""normaltext"">#TP1<i>Предпразднство Богоявления.</i>
#TP1Собор <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/04-01.htm"">70-ти апостолов</a>: Иакова, брата Господня, Марка и Луки евангелистов, Клеопы, Симеона, Варнавы, Иосии (Иуста), Фаддея, Анании, архидиак. первомч. Стефана, Филиппа, Прохора, Никанора, Тимона, Пармена, Тимофея, Тита, Филимона, Онисима, Епафраса, Архиппа, Силы, Силуана, Крискента, Криспа, Епенета, Андроника, Стахия, Амплия, Урвана, Наркисса, Апеллия, Аристовула, Родиона (Иродиона), Агава, Руфа, Асинкрита, Флегонта, Ерма, Патрова, Ермия, Лина, Гаия, Филолога, Лукия, Иасона, Сосипатра, Олимпа (Олимпана), Тертия, Ераста, Куарта, Евода, Онисифора, Климента, Сосфена, Аполлоса, Тихика, Епафродита, Карпа, Кодрата, Марка, Зины, Аристарха, Пуда, Трофима, Марка, Артемы, Акилы, Фортуната и Ахаика, Дионисия Ареопагита и Симеона Нигера.
#TP1Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/04-02.htm"">Феоктиста</a>, игумена Кукума Сикелийского (800).
#TP1Свт. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/04-05.htm"">Евстафия I</a>, архиеп. Сербского (ок. 1285).
#TPo<span class=""minortext "">Сщмчч. Александра, Стефана и Филиппа пресвитеров (1933).</span>
#TPo<span class=""minortext "">Сщмч. Николая пресвитера (1939).</span>
#TPo<span class=""minortext "">Сщмч. Павла пресвитера (1941).</span>
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/04-03.htm"">Ахилы</a>, диак. Печерского, в Дальних пещерах (XIV).
#TP0Прмч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/04-04.htm"">Зосимы</a> и мч. Афанасия (III-IV).
</span>
"
05/01,"<span class=""normaltext"">
#TP0<i>День постный.</i>
#TP1Сщмч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/05-01.htm"">Феопемпта</a>, еп. Никомидийского, и мч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/05-01.htm"">Феоны</a> волхва (303).
#TP1Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/05-02.htm"">Синклитикии</a> Александрийской (ок. 350).
#TPo<span class=""minortext "">Мч. Иосифа и с ним 37-ми мучеников (1921).</span>
#TPo<span class=""minortext "">Мц. Евгении (1933).</span>
#TPo<span class=""minortext "">Сщмч. Сергия пресвитера (1934).</span>
#TPo<span class=""minortext "">Мч. Матфея (1938).</span>
#TPo<span class=""minortext "">Прп. Симеона Псково-Печерского (1960).</span>
#TP0Прор. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/05-03.htm"">Михея</a> (IX в. до Р.Х.).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/05-04.htm"">Аполлинарии</a> девицы (ок. 470).
#TP0Прпп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/05-05.htm"">Фостирия</a> и <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/05-06.htm"">Мины</a>, монаха горы Синайской (VI).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/05-07.htm"">Григория</a> Акритского (ок. 820).<br></span>
"
06/01,"<span class=""normaltext"">#TP6<a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/06-01.htm""><b>Богоявление</b></a>. Крещение Господа Иисуса Христа.
</span>
"
07/01,"<span class=""normaltext"">#TP1<i>Попразднство Богоявления.</i>
#TP3Собор честного и славного Пророка, Предтечи и Крестителя Господня <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/07-01.htm""><b>Иоанна</b></a>.<br></span>
"
08/01,"<span class=""normaltext"">#TP1<i>Попразднство Богоявления.</i>
#TP1Прпп. Георгия <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/08-01.htm"">Хозевита</a> (VII) и Емилиана исп. (IX).
#TP1Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/08-02.htm"">Домники</a> Константинопольской (ок. 474).
#TP1Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/08-03.htm"">Григория</a>, чудотворца Печерского, в Ближних пещерах (1093).
#TP1Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/08-04.htm"">Григория</a>, затворника Печерского, в Дальних пещерах (XIII-XIV).
#TP1Сщмч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/08-05.htm"">Исидора</a> пресвитера и с ним 72-х, в Юрьеве Лифляндском от латин пострадавших (1472).
#TPo<span class=""minortext "">Сщмч. Виктора пресвитера (1937).</span>
#TPo<span class=""minortext "">Сщмч. Димитрия пресвитера (1938).</span>
#TPo<span class=""minortext "">Сщмч. Владимира пресвитера (1938).</span>
#TPo<span class=""minortext "">Мч. Михаила (1938).</span>
#TPo<span class=""minortext "">Св. Михаила исп., пресвитера (1941).</span>
#TP0Прп. Паисия Угличского (1504).
#TP0Сщмч. Картерия, пресвитера Кесарии Каппадокийской (304).
#TP0Мчч. Феофила диакона и Елладия (IV).
#TP0Мчч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/08-06.htm"">Иулиана</a>, Келсия, Антония, Анастасия, мцц. Василиссы и Мариониллы, 7-ми отроков и 20-ти воинов (313).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/08-07.htm"">Илии</a>, пустынника Египетского (IV).
#TP0Мч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/08-08.htm"">Або</a> Тбилисского (ок. 790) (<i>Груз.</i>).
</span>
"
09/01,"<span class=""normaltext"">#TP1<i>Попразднство Богоявления.</i>
#TP1Мч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/09-01.htm"">Полиевкта</a> (259).
#TP4Свт. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/09-02.htm""><b>Филиппа</b></a>, митр. Московского и всея России, чудотворца (1569).
#TPo<span class=""minortext "">Сщмч. Павла пресвитера (1943).</span>
#TP0Прор. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/09-03.htm"">Самея</a> (X в. до Р.Х.).
#TP0Свт. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/09-04.htm"">Петра</a>, еп. Севастии Армянской (IV).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/09-05.htm"">Евстратия</a> чудотворца (IX).<br></span>
"
10/01,"<span class=""normaltext"">#TP1<i>Попразднство Богоявления.</i>
#TP1Свт. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/10-01.htm"">Григория</a>, еп. Нисского (395).
#TP1Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/10-02.htm"">Дометиана</a>, еп. Мелитинского (601).
#TP4Свт. <b>Феофана</b>, Затворника Вышенского (1894).
#TP1Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/10-03.htm"">Маркиана</a> пресвитера (V).
#TP2Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/10-04.htm""><b>Павла</b></a>  Комельского (Обнорского) (1429).
#TP0Прп. Антипы Валаамского (Афонского) (1882).
#TPo<span class=""minortext "">Сщмч. Зиновия пресвитера (1920).</span>
#TPo<span class=""minortext "">Сщмч. Петра пресвитера (1930).</span>
#TPo<span class=""minortext "">Сщмч. Анатолия, митр. Одесского (1938).</span>
#TPo<span class=""minortext "">Прмц. Арсении игумении (1939).</span>
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/10-05.htm"">Макария</a> Писемского (XIV).
#TP0Блж. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/10-06.htm"">Феозвы</a> диакониссы, сестры свт. Григория Нисского (385).
</span>
"
